City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Nikolskoye,RU,59.7035,30.7861,57.09,83,12,10.67,few clouds
1,Portland,US,45.5234,-122.6762,65.53,71,100,4.0,overcast clouds
2,Rikitea,PF,-23.1203,-134.9692,72.95,67,82,9.13,broken clouds
3,Sabak,MY,3.7675,100.9875,81.55,83,66,4.83,broken clouds
4,Walvis Bay,NA,-22.9575,14.5053,52.75,46,0,10.36,clear sky
5,Zhigansk,RU,66.7697,123.3711,57.81,53,7,18.05,clear sky
6,Vaini,TO,-21.2,-175.2,78.96,78,75,5.75,broken clouds
7,Mihai Viteazu,RO,46.5333,23.75,48.13,93,20,5.75,few clouds
8,Vestmannaeyjar,IS,63.4427,-20.2734,49.21,73,100,17.67,overcast clouds
9,Nome,US,64.5011,-165.4064,45.16,81,100,9.22,overcast clouds
10,Alta Floresta,BR,-9.8756,-56.0861,73.26,72,44,2.53,scattered clouds
11,Lebu,CL,-37.6167,-73.65,48.67,89,63,7.81,broken clouds
12,Palana,RU,59.1167,159.9667,47.7,69,100,6.29,overcast clouds
13,Novyy Buyan,RU,53.6861,50.0469,71.76,69,91,4.88,overcast clouds
14,Barrow,US,71.2906,-156.7887,45.1,65,77,10.83,broken clouds
15,Sadiqabad,PK,28.3062,70.1307,96.49,38,1,16.53,clear sky
16,Atuona,PF,-9.8,-139.0333,77.88,69,68,19.24,broken clouds
17,Gisborne,NZ,-38.6533,178.0042,59.72,60,66,8.68,broken clouds
18,Thompson,CA,55.7435,-97.8558,59.16,77,75,2.3,broken clouds
19,Georgetown,MY,5.4112,100.3354,85.95,78,20,7.0,few clouds
20,Saskylakh,RU,71.9167,114.0833,55.71,32,11,6.02,few clouds
21,Vao,NC,-22.6667,167.4833,74.25,81,88,19.6,overcast clouds
22,Shimoda,JP,34.6667,138.95,73.11,84,100,16.87,overcast clouds
23,Coahuayana,MX,18.7333,-103.6833,78.55,90,100,2.77,moderate rain
24,Cherskiy,RU,68.75,161.3,62.65,21,15,12.1,few clouds
25,Cape Town,ZA,-33.9258,18.4232,55.38,79,0,3.44,clear sky
26,Constitucion,CL,-35.3333,-72.4167,49.59,88,12,6.42,few clouds
27,Busselton,AU,-33.65,115.3333,66.56,71,47,16.35,scattered clouds
28,Sitka,US,57.0531,-135.33,59.56,64,51,5.08,broken clouds
29,Okhotsk,RU,59.3833,143.3,49.3,80,96,7.0,overcast clouds
30,Sorong,ID,-0.8833,131.25,82.76,73,16,5.61,few clouds
31,Mataura,NZ,-46.1927,168.8643,47.48,95,100,7.49,light rain
32,Jamestown,US,42.097,-79.2353,76.05,90,55,5.19,broken clouds
33,Albany,US,42.6001,-73.9662,71.92,73,88,1.01,overcast clouds
34,Hasaki,JP,35.7333,140.8333,75.29,82,100,9.89,overcast clouds
35,Qaanaaq,GL,77.484,-69.3632,23.45,76,20,6.02,few clouds
36,Ushuaia,AR,-54.8,-68.3,46.06,46,75,12.66,broken clouds
37,Kavieng,PG,-2.5744,150.7967,84.29,71,76,11.97,light rain
38,Komsomolskiy,UZ,40.4272,71.7189,79.52,34,54,2.3,broken clouds
39,Port Blair,IN,11.6667,92.75,86.04,70,75,9.22,broken clouds
40,Tessalit,ML,20.1986,1.0114,84.33,37,88,9.73,overcast clouds
41,Road Town,VG,18.4167,-64.6167,81.79,79,100,18.92,overcast clouds
42,Huarmey,PE,-10.0681,-78.1522,61.88,84,14,13.27,few clouds
43,Port Keats,AU,-14.25,129.55,90.05,20,62,9.4,broken clouds
44,Otane,NZ,-39.8833,176.6333,61.02,62,53,9.28,broken clouds
45,Mahebourg,MU,-20.4081,57.7,73.26,78,20,11.5,few clouds
46,Lavrentiya,RU,65.5833,-171.0,39.45,94,100,16.13,overcast clouds
47,East London,ZA,-33.0153,27.9116,55.22,57,49,17.0,scattered clouds
48,Ormara,PK,25.2088,64.6357,82.8,81,44,12.53,scattered clouds
49,Cabo San Lucas,MX,22.8909,-109.9124,83.61,70,43,12.88,scattered clouds
50,Soyo,AO,-6.1349,12.3689,72.28,82,75,6.93,broken clouds
51,Santa Cruz,BO,-17.8,-63.1667,65.86,66,0,13.62,clear sky
52,Westport,US,41.1415,-73.3579,67.46,85,86,4.0,overcast clouds
53,Tura,IN,25.5198,90.2201,74.91,96,100,7.27,very heavy rain
54,Puerto El Triunfo,SV,13.2833,-88.55,76.42,89,100,6.24,moderate rain
55,Lata,PT,40.1629,-8.3327,59.92,98,61,1.86,broken clouds
56,Punta Arenas,CL,-53.15,-70.9167,42.91,56,75,9.22,broken clouds
57,Comodoro Rivadavia,AR,-45.8667,-67.5,44.87,68,0,7.43,clear sky
58,Bosobolo,CD,4.1833,19.9,70.03,98,100,3.8,light rain
59,Roald,NO,62.5833,6.1333,57.76,94,75,5.75,light intensity drizzle
60,Bossier City,US,32.516,-93.7321,87.03,69,75,9.22,broken clouds
61,Guarapari,BR,-20.6667,-40.4975,64.89,84,86,4.36,overcast clouds
62,Una,IN,20.8167,71.0333,88.18,64,43,12.62,scattered clouds
63,Erenhot,CN,43.6475,111.9767,84.51,20,66,2.53,broken clouds
64,Darhan,MN,49.4867,105.9228,74.41,59,100,10.25,overcast clouds
65,Klaksvik,FO,62.2266,-6.589,49.12,96,96,7.65,overcast clouds
66,Biak,ID,-0.9131,122.8766,82.56,69,79,2.84,broken clouds
67,Kenai,US,60.5544,-151.2583,65.03,75,32,12.33,scattered clouds
68,Katsuura,JP,35.1333,140.3,69.82,82,100,14.83,overcast clouds
69,Dickinson,US,29.4608,-95.0513,84.15,86,48,1.99,scattered clouds
70,Carnarvon,AU,-24.8667,113.6333,74.03,74,94,4.18,overcast clouds
71,Moelv,NO,60.9333,10.7,53.62,93,100,1.88,light rain
