City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Nikolskoye,RU,57.09,few clouds,59.7035,30.7861,Tourist House - Sablino
1,Portland,US,65.53,overcast clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
2,Rikitea,PF,72.95,broken clouds,-23.1203,-134.9692,People ThankYou
3,Sabak,MY,81.55,broken clouds,3.7675,100.9875,Homestay Nur Kasih Inap Desa
5,Zhigansk,RU,57.81,clear sky,66.7697,123.3711,Gostinichnyy Kompleks Aylgy
6,Vaini,TO,78.96,broken clouds,-21.2,-175.2,Keleti Beach Resort
10,Alta Floresta,BR,73.26,scattered clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
13,Novyy Buyan,RU,71.76,overcast clouds,53.6861,50.0469,“Домик Пчеловода”. Загородное эко-шале
16,Atuona,PF,77.88,broken clouds,-9.8,-139.0333,Villa Enata
17,Gisborne,NZ,59.72,broken clouds,-38.6533,178.0042,ASURE Alfresco Motor Lodge
18,Thompson,CA,59.16,broken clouds,55.7435,-97.8558,Burntwood Hotel
21,Vao,NC,74.25,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
22,Shimoda,JP,73.11,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
23,Coahuayana,MX,78.55,moderate rain,18.7333,-103.6833,El rranchito michuacan de ocampos
24,Cherskiy,RU,62.65,few clouds,68.75,161.3,Gostinitsa
25,Cape Town,ZA,55.38,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
27,Busselton,AU,66.56,scattered clouds,-33.65,115.3333,Observatory Guest House
28,Sitka,US,59.56,broken clouds,57.0531,-135.33,Westmark Sitka
30,Sorong,ID,82.76,few clouds,-0.8833,131.25,Waigo Splash Hotel
32,Jamestown,US,76.05,broken clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
34,Hasaki,JP,75.29,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
37,Kavieng,PG,84.29,light rain,-2.5744,150.7967,Nusa Island Retreat
38,Komsomolskiy,UZ,79.52,broken clouds,40.4272,71.7189,Ikathouse
41,Road Town,VG,81.79,overcast clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
42,Huarmey,PE,61.88,few clouds,-10.0681,-78.1522,Hotel Miramar
44,Otane,NZ,61.02,broken clouds,-39.8833,176.6333,Ludlow Farmstay
45,Mahebourg,MU,73.26,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
47,East London,ZA,55.22,scattered clouds,-33.0153,27.9116,Tu Casa
48,Ormara,PK,82.8,scattered clouds,25.2088,64.6357,Kenara Colony House for Rent
49,Cabo San Lucas,MX,83.61,scattered clouds,22.8909,-109.9124,Vista Roof Restaurant
50,Soyo,AO,72.28,broken clouds,-6.1349,12.3689,Hospedaria ndozi'ame
51,Santa Cruz,BO,65.86,clear sky,-17.8,-63.1667,Aviador Hotel Boutique
52,Westport,US,67.46,overcast clouds,41.1415,-73.3579,The Westport Inn
53,Tura,IN,74.91,very heavy rain,25.5198,90.2201,Hotel RIKMAN Continental
54,Puerto El Triunfo,SV,76.42,moderate rain,13.2833,-88.55,Hotel Jardin
55,Lata,PT,59.92,broken clouds,40.1629,-8.3327,Casa Maquia
59,Roald,NO,57.76,light intensity drizzle,62.5833,6.1333,Flem Cabins
61,Guarapari,BR,64.89,overcast clouds,-20.6667,-40.4975,Hotel Porto do Sol
63,Erenhot,CN,84.51,broken clouds,43.6475,111.9767,Erenhot Rurouni Youth Hostel
64,Darhan,MN,74.41,overcast clouds,49.4867,105.9228,Buudai Hotel
66,Biak,ID,82.56,broken clouds,-0.9131,122.8766,Penginapan Kim
67,Kenai,US,65.03,scattered clouds,60.5544,-151.2583,Aspen Extended Stay Suites
68,Katsuura,JP,69.82,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
69,Dickinson,US,84.15,scattered clouds,29.4608,-95.0513,Hampton Inn & Suites Houston/League City
70,Carnarvon,AU,74.03,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
71,Moelv,NO,53.62,light rain,60.9333,10.7,Honne Hotell & Konferansesenter
74,Maputo,MZ,59.23,few clouds,-25.9653,32.5892,Pestana Rovuma
75,Serenje,ZM,53.29,clear sky,-13.2325,30.2352,The Kabaso's
78,Chuy,UY,51.76,light rain,-33.6971,-53.4616,Nuevo Hotel Plaza
79,Jiazi,CN,82.87,light rain,22.8779,116.067,Hotel Jin Hao
80,Belyy Yar,RU,73.85,light rain,53.6039,91.3903,Pasportnyy Stol
81,Haines Junction,CA,60.06,light rain,60.7522,-137.5108,Parkside Inn
84,Fallon,US,80.46,clear sky,39.4735,-118.7774,Best Western Fallon Inn & Suites
85,Caravelas,BR,67.37,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
86,Bethel,US,66.2,broken clouds,41.3712,-73.414,Courtyard by Marriott Danbury
87,Yellowknife,CA,59.56,overcast clouds,62.456,-114.3525,The Explorer Hotel
88,Jalu,LY,75.0,clear sky,29.0331,21.5482,صاحبة الفخامة
90,Hilo,US,78.24,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
93,Touros,BR,74.07,few clouds,-5.1989,-35.4608,INN NEW HORIZON
94,Kalmunai,LK,80.83,moderate rain,7.4167,81.8167,VS Villa
95,Hithadhoo,MV,81.97,overcast clouds,-0.6,73.0833,Scoop Guest House
96,Igarka,RU,70.18,overcast clouds,67.4667,86.5833,"Zapolyar'ye, Gostinitsa"
98,Chake Chake,TZ,74.68,clear sky,-5.2459,39.7666,Hotel Archipelago
99,Norman Wells,CA,57.07,broken clouds,65.282,-126.8329,Heritage Hotel
100,Lompoc,US,64.78,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
102,Karratha,AU,82.62,broken clouds,-20.7377,116.8463,ibis Styles Karratha
103,Prince Rupert,CA,55.94,overcast clouds,54.3161,-130.3201,Crest Hotel
104,Trebur,DE,66.79,clear sky,49.9311,8.4161,"Hotel - Restaurant ""Bauschheimer Hof"" Rüsselsheim"
107,Mandurah,AU,66.9,broken clouds,-32.55,115.7,Atrium Hotel Mandurah
108,Butaritari,KI,82.54,few clouds,3.0707,172.7902,Isles Sunset Lodge
109,Vila,PT,59.88,scattered clouds,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
110,Puerto Ayora,EC,70.56,few clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
113,Bilibino,RU,58.98,clear sky,68.0546,166.4372,Gostinitsa Severyanka
114,Arraial Do Cabo,BR,67.75,clear sky,-22.9661,-42.0278,Pousada Porto Praia
115,Kapaa,US,78.48,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
116,Vila Velha,BR,64.94,scattered clouds,-20.3297,-40.2925,Hotel Vitória Palace
119,Olinda,BR,74.52,few clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
122,Itarema,BR,73.67,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
123,Independencia,BR,69.03,broken clouds,-5.3964,-40.3086,Pousada Santa Cruz
125,Nishihara,JP,76.28,moderate rain,26.1842,127.7558,Minshuku Agaihama
127,Hamilton,US,84.74,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
128,Salalah,OM,82.35,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
130,Port Augusta,AU,64.0,clear sky,-32.5,137.7667,Majestic Oasis Apartments
131,Aklavik,CA,60.42,clear sky,68.2191,-135.0107,Aklavik Inn
132,Laguna,US,81.45,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
133,Hobart,AU,53.46,broken clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
