City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Bluff,NZ,2022-06-12 22:35:50,-46.6,168.3333,43.81,80,98,34.02
1,Muros,ES,2022-06-12 22:35:50,42.7762,-9.0603,69.15,71,45,14.7
2,Vaini,TO,2022-06-12 22:35:51,-21.2,-175.2,80.76,89,40,9.22
3,Ushuaia,AR,2022-06-12 22:35:51,-54.8,-68.3,42.46,93,40,11.5
4,Mayor Pablo Lagerenza,PY,2022-06-12 22:35:52,-19.9309,-60.7718,54.05,26,0,3.53
5,Butaritari,KI,2022-06-12 22:35:52,3.0707,172.7902,82.24,69,15,13.47
6,Kruisfontein,ZA,2022-06-12 22:35:53,-34.0033,24.7314,68.88,35,100,5.84
7,La Ronge,CA,2022-06-12 22:35:53,55.1001,-105.2842,61.05,67,75,9.22
8,Shubarshi,KZ,2022-06-12 22:35:54,48.5872,57.1869,59.2,79,44,11.1
9,East London,ZA,2022-06-12 22:35:54,-33.0153,27.9116,75.9,29,100,11.59
10,Khatanga,RU,2022-06-12 22:35:54,71.9667,102.5,61.92,40,100,10.78
11,Riyadh,SA,2022-06-12 22:35:03,24.6877,46.7219,86.14,14,0,2.51
12,Inuvik,CA,2022-06-12 22:35:55,68.3499,-133.7218,45.36,73,100,9.22
13,Petropavlovsk-Kamchatskiy,RU,2022-06-12 22:31:15,53.0452,158.6483,55.99,51,0,6.71
14,Mount Isa,AU,2022-06-12 22:35:56,-20.7333,139.5,49.77,66,0,3.44
15,Los Llanos De Aridane,ES,2022-06-12 22:35:56,28.6585,-17.9182,67.75,94,100,8.05
16,Irtyshskiy,RU,2022-06-12 22:35:57,58.3333,68.1333,55.54,97,100,9.1
17,Atuona,PF,2022-06-12 22:35:57,-9.8,-139.0333,77.9,67,73,16.42
18,Saint George,US,2022-06-12 22:33:40,37.1041,-113.5841,105.64,6,0,20.71
19,Fortuna,US,2022-06-12 22:35:58,40.5982,-124.1573,61.14,88,100,13.8
20,Saint-Pierre,RE,2022-06-12 22:33:24,-21.3393,55.4781,70.92,94,75,20.71
21,Torbay,CA,2022-06-12 22:35:59,47.6666,-52.7314,69.76,60,20,18.41
22,Port Alfred,ZA,2022-06-12 22:35:59,-33.5906,26.891,78.19,26,100,8.99
23,Bathsheba,BB,2022-06-12 22:36:00,13.2167,-59.5167,83.01,78,20,19.57
24,Punta Arenas,CL,2022-06-12 22:32:25,-53.15,-70.9167,48.31,81,75,5.75
25,Qasigiannguit,GL,2022-06-12 22:36:00,68.8193,-51.1922,35.85,92,100,2.93
26,Upernavik,GL,2022-06-12 22:36:01,72.7868,-56.1549,30.49,75,91,8.72
27,Muzhi,RU,2022-06-12 22:36:01,65.3667,64.6667,45.5,61,100,14.27
